Outcome Timeframe,Study results and measurements,Comparator No intervention or alternative medicines,Intervention SMC,Certainty of the evidence (Quality of evidence),Summary
7 Critical,,,,,
"Clinical malaria: children <5 years, 3-4 cycles, SP+AS 7 Critical",Rate ratio 0.14 (CI 95% 0.1 -0.2) Based on data from participants in 1 studies. (Randomized controlled),Difference:,315 fewer per 1000 ( CI 95% 450 fewer -225 fewer ),High,3-4 cycles of SMC with SP+AS reduces clinical malaria incidence in children <5 years.
Clinical malaria incidence: children ≥5 years (various regimens) 7 Critical,Rate ratio 0.27 (CI 95% 0.25 -0.3) Based on data from participants in 3 studies. (Randomized controlled),Difference:,170 fewer per 1000 ( CI 95% 189 fewer -158 fewer ),"Low Due to serious risk of bias, Due to serious inconsistency 4",SMC may reduce clinical malaria incidence in children ≥ 5 years.
"Clinical malaria: children 5-9 years, 3-4 cycles, SP+AQ 7 Critical",Rate ratio 0.39 (CI 95% 0.35 -0.44) Based on data from participants in 1 studies. (Randomized controlled),Difference:,2 fewer per 1000 ( CI 95% 3 fewer -2fewer ),Moderate Due to serious risk of bias 5,3-4 cycles of SMC with SP+AQ probably reduces clinical malaria incidence in children 5-9 years.
"Clinical malaria: children 5-9 years, 5-6 cycles, SP+AQ 7 Critical",Rate ratio 0.17 (CI 95% 0.15 -0.2) Based on data from participants in 1 studies. (Randomized controlled),Difference:,248 fewer per 1000 ( CI 95% 292 fewer -219 fewer ),High,5-6 cycles of SMC with SP+AQ reduces clinical malaria incidence in children 5-9 years.
"Clinical malaria: children <10 years, 3-4 cycles, SP+AQ 7 Critical",Rate ratio 0.4 (CI 95% 0.35 -0.45) Based on data from participants in 2 studies. (Randomized controlled),Difference:,53 fewer per 1000 ( CI 95% 60 fewer -46 fewer ),Moderate Due to serious risk of bias 6,3-4 cycles of SMC with SP+AQ probably reduces clinical malaria incidence in children <10 years.
"Clinical malaria: children <10 years, 5-6 cycles, SP+AQ 7 Critical",Rate ratio 0.17 (CI 95% 0.15 -0.2) Based on data from participants in 1 studies. (Randomized controlled),Difference:,262 fewer per 1000 ( CI 95% 308 fewer -231 fewer ),Moderate Due to serious risk of bias 7,5-6 cycles of SMC with SP+AQ probably reduces clinical malaria incidence in children <10 years.
"Clinical malaria: children 6-15 years, 3-4",Rate ratio 0.15 (CI 95% 0.11 -0.21) Based on data from,Difference:,64 fewer per 1000 ( CI 95% 89 fewer,Low Due to very serious risk of bias 8,3-4 cycles of SMC with AS-AQ may reduce clinical malaria incidence
