Outcome Timeframe,Study results and measurements,Comparator Pyrethroid-PBO nets for prevention of malaria,Intervention Pyrethroid- pyriproxyfen nets for prevention of malaria,Certainty of the evidence (Quality of evidence),Summary
Malaria case incidence (overall),"Rate ratio 1.25 (CI 95% 1.1 -1.41) Based on data from 61,183 participants in 1 studies. (Randomized controlled)",333 per 1000 Difference:,416 per 1000 83 more per 1000 ( CI 95% 33 more -137 more ),High,"2000-person years (1 RCT); Length of time observed: <1 month to 24 months; Based on data from at least 61,183 participants (1 study); Absolute calculation performed manually as GRADEPro cannot calculate using IRR."
Malaria case incidence (1-year post-,"Rate ratio 2.04 (CI 95% 1.55 -2.68) Based on data from 61,183 participants in 1",131 per 1000,266 per 1000,High,2000-person years (1 RCT) Length of time observed: <1 month to 12 months Based on data
