Outcome Timeframe,Study results and measurements,Comparator No MDA,Intervention MDA,Certainty of the evidence (Quality of evidence),Summary
MDA 6 Important,,,,,
"Parasite prevalence: RCT, Pf, mod/ high transmission 4-12 months post- MDA 6 Important","Relative risk 1.18 (CI 95% 0.89 -1.56) Based on data from 1,497 participants in 1 studies. (Randomized controlled)",483 per 1000 Difference:,570 per 1000 87 more per 1000 ( CI 95% 53 fewer -270 more ),Low Due to very serious imprecision 19,MDA may increase P. falciparum parasite prevalence slightly in moderate to high transmission areas 4-12 months post-MDA.
"Parasite prevalence: non-RCT, Pf, mod/high transmission 1-3 months post- MDA 6 Important","Relative risk 0.85 (CI 95% 0.78 -0.93) Based on data from 1,000 participants in 1 studies. (Observational (non-randomized))",723 per 1000 Difference:,615 per 1000 108 fewer per 1000 ( CI 95% 159 fewer -51 fewer ),Very low Due to serious risk of bias 20,We are uncertain whether MDA increases or decreases P. falciparum parasite prevalence in moderate to high transmission areas 1-3 months post- MDA.
"Parasite prevalence: non-RCT, Pf, mod/high transmission 12-24 months post-MDA 6 Important","Relative risk 0.77 (CI 95% 0.7 -0.84) Based on data from 3,261 participants in 1 studies. (Observational (non-randomized))",431 per 1000 Difference:,332 per 1000 99 fewer per 1000 ( CI 95% 129 fewer -69 fewer ),Low,MDA may decrease P. falciparum parasite prevalence in moderate to high transmission areas 12-24 months post-MDA.
"Parasite prevalence: RCT, Pf, low/ very low transmission 12-24 months post-MDA 6 Important","Relative risk 0.34 (CI 95% 0.06 -1.97) Based on data from 1,390 participants in 1 studies. (Randomized controlled)",32 per 1000 Difference:,11 per 1000 21 fewer per 1000 ( CI 95% 30 fewer -31 more ),"Very low Due to serious risk of bias, Due to serious indirectness 21",We are uncertain whether MDA increases or decreases P. falciparum parasite prevalence in low to very low transmission areas 12-24 months post-MDA.
"Parasite prevalence: RCT, Pf, low/ very low transmission <1 month post- MDA 6 Important",Relative risk 0.12 (CI 95% 0.03 -0.52) Based on data from 718 participants in 2 studies. (Randomized controlled),35 per 1000 Difference:,4 per 1000 31 fewer per 1000 ( CI 95% 34 fewer -17 fewer ),Moderate Due to serious risk of bias 22,MDA probably decreases P. falciparum parasite prevalence in low to very low transmission areas <1 month post-MDA.
