Outcome Timeframe,Study results and measurements,Comparator No MDA,Intervention MDA,Certainty of the evidence (Quality of evidence),Summary
"All-cause mortality: <5 years, non-RCT, Pf, mod/high transmission 1-3 months post- MDA 7 Critical","Odds ratio 1.13 (CI 95% 0.87 -1.46) Based on data from 2,008,720 participants in 1 studies. (Observational (non-randomized))",106 per 1 million Difference:,118 per 1 million 12 more per 1 million ( CI 95% 12 fewer -42 more ),"Very low Due to serious risk of bias, Due to serious imprecision 13",We are uncertain whether MDA increases or decreases all-cause mortality in children <5 years 1-3 months post- MDA.
"Parasite prevalence: non-RCT, Pf, mod/high transmission 4-12 months post- MDA 6 Important","Relative risk 0.6 (CI 95% 0.55 -0.67) Based on data from 3,154 participants in 1 studies. (Observational (non-randomized))",418 per 1000 Difference:,251 per 1000 167 fewer per 1000 ( CI 95% 188 fewer -138 fewer ),Very low Due to serious risk of bias 14,We are uncertain whether MDA increases or decreases P. falciparum parasite prevalence in moderate to high transmission areas 4-12 months post- MDA.
"Parasite incidence: RCT, Pf, mod/high transmission 1-3 months post- MDA 3 Not Important",Rate ratio 0.61 (CI 95% 0.4 -0.92) Based on data from 820 participants in 1 studies. (Randomized controlled),57 per 1000 Difference:,35 per 1000 22 fewer per 1000 ( CI 95% 20 fewer -205 more ),Moderate Due to serious risk of bias 15,MDA probably reduces the incidence of P. falciparum in moderate to high transmission areas 1-3 months post-MDA.
"Parasite incidence: RCT, Pf, mod/high transmission 4-12 months post- MDA 3 Not Important",Rate ratio 0.91 (CI 95% 0.55 -1.5) Based on data from 518 participants in 1 studies. (Randomized controlled),108 per 1000 Difference:,98 per 1000 10 fewer per 1000 ( CI 95% 53 fewer -270 more ),"Very low Due to serious risk of bias, Due to serious imprecision 16",We are uncertain whether MDA increases or decreases the incidence of P. falciparum in moderate to high transmission areas 4-12 months post-MDA.
"Parasite incidence: RCT, Pf, low/very low transmission 1-3 months post- MDA 3 Not Important",Rate ratio 0.37 (CI 95% 0.21 -0.66) Based on data from 812 participants in 1 studies. (Randomized controlled),12 per 1000 Difference:,5 per 1000 7 fewer per 1000 ( CI 95% 20 fewer -205 more ),Moderate Due to serious risk of bias 17,MDA probably reduces the incidence of P. falciparum in low to very low transmission areas 1- 3 months post-MDA.
"Parasite prevalence: RCT, Pf, mod/ high transmission 1-3 months post-",Relative risk 1.76 (CI 95% 0.58 -5.36) Based on data from 786 participants in 1 studies. (Randomized controlled),47 per 1000 Difference:,83 per 1000 36 more per 1000 ( CI 95% 20 fewer -205 more ),Low Due to very serious imprecision 18,MDA may increase P. falciparum parasite prevalence slightly in moderate to high transmission areas 1-3 months post-MDA.
