"Outcome
Timeframe","Study results and
measurements","Comparator
No malaria
vaccination","Intervention
Malaria vaccination","Certainty of the
evidence
(Quality of evidence)",Summary
6 Important,,,,,
"Protective
efficacy (%)
against all-cause
mortality; RTS,S/
AS01 alone vs.
SMC alone
(seasonal
vaccination) 89
Phase 3b
randomized trial
2017–2020
6 Important","12.1
(CI 95% -55.7 — 50.4)
Based on data from 3,953
participants in 1 studies. 90
(Randomized controlled)
Follow up: 3 years.","4.59
per 1000
Difference:","3.97
per 1000
0.62 fewer per
1000
( CI 95% 1.97 fewer
— 1.45 more )","Low
Due to very serious
imprecision 91","There may be little or no
difference between the
impact of RTS,S/AS01
vaccination and SMC
administration on all-cause
mortality."
"Protective
efficacy (%)
against all-cause
mortality; RTS,S/
AS01 + SMC
combination vs.
SMC alone
(seasonal
vaccination) 92
Phase 3b
randomized trial
2017–2020
6 Important","52.3
(CI 95% 4.99 — 76)
Based on data from 3,932
participants in 1 studies. 93
(Randomized controlled)
Follow up: 3 years.","4.59
per 1000
Difference:","2.18
per 1000
2.41 fewer per
1000
( CI 95% 0.75 fewer
— 3.35 fewer )","Moderate
Due to serious
imprecision 94","The combination of RTS,S/
AS01 vaccination and
SMC is probably
associated with a reduction
in all-cause mortality."
"Protective
efficacy (%)
against all-cause
mortality; 3
doses of R21/
Matrix-M vs.
control
(seasonal
vaccination) 95
Phase 3
randomized trial
2021-ongoing
6 Important","Based on data from 2,424
participants in 1 studies. 96
(Randomized controlled)
Follow up: 20 months post
dose 1.","2.47
per 1000","4.34
per 1000","Low
Due to serious
imprecision 97","Too few events to
determine an association
between R21/Matrix-M
vaccination on all-cause
mortality from this study."
"Protective
efficacy (%) all-
cause mortality;
3 doses R21/
Matrix-M vs.
control
(seasonal
vaccination) 98
Phase 2b","Based on data from 293
participants in 1 studies. 99
(Randomized controlled)
Follow up: 12 months post
dose 3.",,,"Low
Due to serious
imprecision 100","Due to zero events and
small sample size, cannot
determine an association
between R21/Matrix-M
vaccination and all-cause
mortality from this study."
,,,,,
