"Clinical question/ PICO
Population: Adults and children residing in a delimited geographical area
Intervention: MDA
Comparator: No MDA, routine service",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
No MDA","Intervention
MDA","Certainty of the
evidence
(Quality of evidence)",Summary
"Clinical malaria
incidence: RCT,
Pf, mod/high","Rate ratio 0.41
(CI 95% 0.04 — 4.42)
Based on data from
144,422 participants in 1",Difference:,"1 fewer per 1000
( CI 95% 2 fewer
— 8 more )","Low
Due to very
serious
imprecision 1","MDA may decrease
clinical malaria incidence
in delimited moderate to
high malaria transmission"
,,,,,
