Outcome Timeframe,Study results and measurements,Comparator no ITNs,Intervention ITNs,Certainty of the evidence (Quality of evidence),Summary
P. falciparum case incidence,"Relative risk 0.55 (CI 95% 0.37 -0.79) Based on data from 3,200 participants in 4 studies.",70 per 1000 Difference:,39 per 1000 31 fewer per 1000 ( CI 95% 44 fewer -15 fewer ),High,ITNs reduce P. falciparum case incidence compared to no ITNs.
P. falciparum prevalence,"Relative risk 0.6 (CI 95% 0.4 -0.88) Based on data from 2,079 participants in 2 studies.",37 per 1000 Difference:,22 per 1000 15 fewer per 1000 ( CI 95% 22 fewer -4fewer ),High,ITNs reduce P. falciparum prevalence compared to no ITNs.
