"Outcome
Timeframe","Study results and
measurements","Comparator
no larvivorous fish","Intervention
Larvivorous fish","Certainty of the
evidence
(Quality of evidence)",Summary
,,,,,
"Density of
immature
stages of
vectors in
aquatic habitats
(Quasi-
experimental
studies)","Based on data from
participants in 12 studies.
(Observational (non-
randomized))",Not pooled. Variable effects reported.,,"Very low
Due to serious
inconsistency 1","The evidence is very
uncertain about the effect
of larvivorous fish on the
density of immature
anopheline mosquitoes in
water bodies compared to
no fish."
"Larval sites
positive for
immature
stages of the
vectors (Quasi-
experimental
studies)","Based on data from
participants in 5 studies.
(Observational (non-
randomized))",Not pooled. Positive effects reported,,"Low
Downgraded by
two: the included
studies were
non‐randomized
controlled trials","Larvivorous fish may
reduce the number of
larval sites positive for
immature anopheline
mosquitoes compared to
no fish."
"1. Inconsistency: serious.
References
99. Walshe DP, Garner P, Adeel AA, Pyke GH, Burkot TR. Larvivorous fish for preventing malaria transmission. The Cochrane
database of systematic reviews 2017;(12):CD008090 Pubmed Journal Website",,,,,
