Outcome Timeframe,Study results and measurements,Comparator No medicine,Intervention Therapeutic course of SP,Certainty of the evidence (Quality of evidence),Summary
Maternal deaths 5 Important,"Relative risk 1.17 (CI 95% 0.49 -2.8) Based on data from 8,755 participants in 6 studies. (Randomized controlled)",3 per 1000 Difference:,4 per 1000 1 more per 1000 ( CI 95% 2 fewer -5more ),"Low Very few events, Wide CIs include both no effect and appreciable risk 8",Therapeutic courses of SP may result in little to no difference in maternal deaths.
"Mean birthweight, per dose of SP 5 Important",Based on data from participants in 82 studies. (Observational (non- randomized)),Difference:,MD 57 higher ( CI 95% 44 higher -69 higher ),Moderate Upgraded due to clear dose- response gradient 9,Therapeutic courses of SP probably improve mean birthweight.
"Maternal haemoglobin, per dose of SP 4 Important",Based on data from participants in 46 studies. (Observational (non- randomized)),Difference:,MD 0.19 higher ( CI 95% 0.15 higher -0.22 higher ),Low Upgraded due to clear dose- response gradient 10,Therapeutic courses of SP may improve maternal haemoglobin.
Maternal serious adverse events 6 Important,Based on data from participants in 8 studies. (Randomized controlled),The pooled prevalence of serious adverse events among IPTp-SP recipients was 3.84% (95% CI 2.20-5.88).,The pooled prevalence of serious adverse events among IPTp-SP recipients was 3.84% (95% CI 2.20-5.88).,Low Due to very serious risk of bias (no events reported in comparison arm) 11,Therapeutic courses of SP may increase maternal serious adverse events.
"Maternal adverse events, IPTp-SP vs placebo or case management","Based on data from 8,122 participants in 16 studies. (Randomized controlled)",The pooled prevalence of adverse events was 14.3% (95% CI 4.9-27.5%),The pooled prevalence of adverse events was 14.3% (95% CI 4.9-27.5%),Moderate Due to serious imprecision 12,Therapeutic courses of SP probably increase maternal adverse events compared to placebo or case management.
