Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
2009-2014 9 Critical,,,,,
"Protective efficacy (%) against clinical malaria; 4 doses of RTS,S/AS01 vs. control (age- based vaccination, high transmission) 3 Phase 2b randomized trial 2017-2018",39 (CI 95% 23 -51) Based on data from 591 participants in 1 studies. 4 (Randomized controlled) Follow up: month 0 to month 20.,"1,172 per 1000 Difference:",715 per 1000 457 fewer per 1000 ( CI 95% 598 fewer -270 fewer ),Moderate Due to imprecision - confidence interval crosses threshold for a worthwhile effect 5,"RTS,S/AS01 vaccination probably reduces clinical malaria episodes"
"Protective efficacy (%) against clinical malaria; 3 doses of R21/Matrix-M vs. control (age- based vaccination, low to moderate transmission) 6 Phase 3 randomized trial 2021-ongoing","66 (CI 95% 56 -73) Based on data from 1,885 participants in 1 studies. 7 (Randomized controlled) Follow up: 12 months post dose 3.",446 per 1000 Difference:,171 per 1000 272 fewer per 1000 ( CI 95% 299 fewer -236 fewer ),Moderate Due to indirectness - lack of data in high perennial transmission settings.,R21/Matrix-M vaccination probably reduces clinical malaria episodes
"Protective efficacy (hazard ratio) against clinical malaria ; RTS,S/AS01 alone vs. SMC alone (seasonal vaccination) 8 Phase 3b randomized trial 2017-2020 9 Critical","Hazard ratio 0.92 (CI 99% 0.84 -1.01) Based on data from 3,953 participants in 1 studies. 9 (Randomized controlled) Follow up: 3 years.",305 per 1000 Difference:,278 per 1000 21 fewer per 1000 ( CI 95% 47 fewer -10 fewer ),High,"RTS,S/AS01 vaccination is non-inferior to SMC in reducing clinical malaria."
"Protective efficacy (%) against clinical malaria; RTS,S/ AS01 + SMC combination vs. SMC alone","62.8 (CI 95% 58.4 -66.8) Based on data from 3,932 participants in 1 studies. 11 (Randomized controlled) Follow up: 3 years.",305 per 1000 Difference:,113 per 1000 191 fewer per 1000 ( CI 95% 204 fewer -178 fewer ),High,"The combination of RTS,S/ AS01 vaccination with SMC is superior to SMC alone in reducing clinical malaria."
