Outcome Timeframe,Study results and measurements,Comparator no IRS,Intervention IRS,Certainty of the evidence (Quality of evidence),Summary
P. falciparum incidence,"Relative risk 0.57 (CI 95% 0.53 -0.61) Based on data from 480,377 participants in 1 studies.",7 per 1000 Difference:,4 per 1000 3 fewer per 1000 ( CI 95% 3 fewer -3fewer ),Very low,The evidence is very uncertain about the effect of IRS on P. falciparum incidence compared to no IRS.
P. falciparum prevalence,Relative risk 1.31 (CI 95% 0.91 -1.88) Based on data from 278,257 per 1000,337 per 1000,Low Due to very serious imprecision.,IRS may result in little to no difference in P. falciparum prevalence compared to no IRS.
