Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
(seasonal vaccination) 10 Phase 3b randomized trial 2017-2020 9 Critical,,,,,
Protective efficacy (%) against clinical malaria; 3 doses R21/Matrix-M vs. control (seasonal vaccination) 12 Phase 2b randomized trial 2019-2021,77 (CI 95% 67 -84) Based on data from 293 participants in 1 studies. 13 (Randomized controlled) Follow up: 12 months post dose 3.,720 per 1000 Difference:,267 per 1000 555 fewer per 1000 ( CI 95% 606 fewer -483 fewer ),High,R21/Matrix-M vaccination reduces clinical malaria cases.
Protective efficacy (%) against clinical malaria; 4 doses R21/Matrix-M vs. control (seasonal vaccination) 14 Phase 3 randomized trial 2021-ongoing,"73 (CI 95% 69 -76) Based on data from 2,182 participants in 1 studies. 15 (Randomized controlled) Follow up: 18 months post dose 3.","1,264 per 1000 Difference:",350 per 1000 936 fewer per 1000 ( CI 95% 961 fewer -885 fewer ),High,R21/Matrix-M vaccination reduces clinical malaria cases.
"Protective efficacy (%) against severe malaria; 4 doses of RTS,S/AS01 vs. control (age- based vaccination, low to high transmission) 16 Phase 3 randomized trial 2009-2014 6 Important","32.2 (CI 95% 13.7 -46.9) Based on data from 5,950 participants in 1 studies. 17 (Randomized controlled) Follow up: month 0 to study end (median 48 months).",Difference:,19 fewer per 1000 ( CI 95% 4 fewer- 35 fewer ),High 18,"RTS,S/AS01 vaccination reduces severe malaria."
Protective efficacy (%) against severe malaria; 3 doses of R21/Matrix-M,"38 (CI 95% -176 -86) Based on data from 1,885 participants in 1 studies. 20 (Randomized controlled)",3.81 per 1000 Difference:,3.3 per 1000 0 fewer per 1000,Low Due to serious imprecision 21,Too few events and small sample size to determine an association between R21/Matrix-M vaccination and severe malaria from
