Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
(seasonal vaccination) 40 Phase 3b randomized trial 2017-2020 6 Important,,,,,
"Protective efficacy (%) against blood transfusions; 4 doses RTS,S/ AS01 vs. control (age-based vaccination, low to high transmission) 43 Phase 3 randomized trial 2009-2014","28.5 (CI 95% 3.5 -47.2) Based on data from 5,950 participants in 1 studies. 44 (Randomized controlled) Follow up: month 0 to end of study (median 48 months).",Difference:,15 fewer ( CI 95% 1 fewer- 31 fewer ),Moderate Due to serious imprecision 45,"RTS,S/AS01 vaccination probably reduces the need for blood transfusions."
"efficacy (%) against blood transfusions; 4 doses of R21/ Matrix-M vs. control (age- based vaccination, low to moderate transmission) 46 Phase 3 randomized trial 2021-ongoing 6 Important","61 (CI 95% -7 -86) Based on data from 1,751 participants in 1 studies. 47 (Randomized controlled) Follow up: 18 months post dose 3.",7.8 per 1000 Difference:,3.5 per 1000 4.3 fewer per 1000 ( CI 95% 7 fewer- 1 more ),Moderate Due to imprecision,There is probably little or no difference between R21/Matrix-M vaccination and control in reducing the number of blood transfusions.
"Protective efficacy (%) against blood transfusions; RTS,S/AS01 alone vs. SMC alone (seasonal vaccination) 48 Phase 3b randomized trial 2017-2020 6 Important","8.27 (CI 95% -67.6 -49.8) Based on data from 3,953 participants in 1 studies. 49 (Randomized controlled) Follow up: 3 years.",4.22 per 1000 Difference:,3.79 per 1000 0.43 fewer per 1000 ( CI 95% 1.75 fewer -1.6 more ),Low Due to very serious imprecision 50,"There may be little or no difference between RTS,S/ AS01 vaccination and SMC in reducing the need for blood transfusions."
Protective efficacy (%),65.4 (CI 95% 22.9 -84.5),4.22,1.45,Low Due to very serious,"The combination of RTS,S/ AS01 vaccination with"
