Outcome Timeframe,Study results and measurements,Comparator no MDA,Intervention Mass drug administration (MDA),Certainty of the evidence (Quality of evidence),Summary
1-3 months - Prevalence,Relative risk 1.76 (CI 95% 0.58 -5.36) Based on data from 786 participants in 1 studies. (Randomized controlled),50 per 1000 Difference:,88 per 1000 38 more per 1000 ( CI 95% 21 fewer -219 more ),Low Due to very serious imprecision 1,MDA may result in little to no difference in P. falciparum prevalence between 1-3 months
1-3 months - Prevalence (NRS),"Relative risk 0.85 (CI 95% 0.78 -0.93) Based on data from 1,000 participants in 1 studies. (Observational (non-randomized))",723 per 1000 Difference:,614 per 1000 108 fewer per 1000 ( CI 95% 159 fewer -51 fewer ),Very low Due to serious risk of bias 2,The evidence is very uncertain about the effect of MDA on P. falciparum prevalence between 1-3 months
1-3 months - Incidence of parasitaemia,Rate ratio 0.61 (CI 95% 0.4 -0.92) Based on data from 820 participants in 1 studies. (Randomized controlled),57 per 1000,35 per 1000,Moderate Due to serious imprecision 3,MDA probably reduces the incidence of P. falciparum parasitaemia between 1-3 months
1-3 months - Incidence of clinical malaria,"Rate ratio 0.41 (CI 95% 0.04 -4.42) Based on data from 144,422 participants in 1 studies. (Randomized controlled)",2 per 1000,1 per 1000,Low Due to very serious imprecision 4,MDA may result in little to no difference in the incidence of P. falciparum clinical malaria between 1-3 months
4-12 months - Prevalence,Relative risk 1.18 (CI 95% 0.89 -1.56) Based on data from,483 per 1000,570 per 1000,Low Due to very serious,MDA may result in little to no difference in P. falciparum prevalence
