"Outcome
Timeframe","Study results and
measurements","Comparator
Placebo or no
intervention","Intervention
Therapeutic courses
of an antimalarial
medicine","Certainty of the
evidence
(Quality of evidence)",Summary
8 Critical,"Follow up: 2 weeks to 14
weeks.",,— 19 fewer ),,
"Severe anaemia
re-admission
(post-
intervention
period)
8 Critical","Hazard ratio 0.74
(CI 95% 0.52 — 1.05)
Based on data from 558
participants in 2 studies.
(Randomized controlled)
Follow up: 15 weeks to 26
weeks.","289
per 1000
Difference:","223
per 1000
66 fewer per 1000
( CI 95% 126 fewer
— 12 more )","Moderate
Due to serious
imprecision 6","Therapeutic courses of an
antimalarial medicine
probably decrease severe
anaemia re-admission in
the post-intervention
period."
"Severe malaria
re-admission
(intervention
period)
8 Critical","Hazard ratio 0.32
(CI 95% 0.22 — 0.48)
Based on data from 470
participants in 2 studies.
(Randomized controlled)
Follow up: 2 weeks to 14
weeks.","851
per 1000
Difference:","456
per 1000
395 fewer per
1000
( CI 95% 509 fewer
— 252 fewer )","Moderate
Due to serious
inconsistency 7","Therapeutic courses of an
antimalarial medicine
probably decrease severe
malaria re-admission in
the intervention period"
"Severe malaria
re-admission
(post-
intervention
period)
8 Critical","Hazard ratio 1.06
(CI 95% 0.81 — 1.39)
Based on data from 558
participants in 2 studies.
(Randomized controlled)
Follow up: 15 weeks to 26
weeks.","368
per 1000
Difference:","385
per 1000
17 more per 1000
( CI 95% 58 fewer
— 104 more )","Moderate
Due to serious
imprecision 8","Therapeutic courses of an
antimalarial medicine
probably result in little to
no difference in severe
malaria re-admission in
the post-intervention
period."
"Clinical malaria
(intervention
period)
6 Important","Hazard ratio 0.43
(CI 95% 0.36 — 0.5)
Based on data from 3,356
participants in 3 studies.
(Randomized controlled)
Follow up: 2 weeks to 14
weeks.","372
per 1000
Difference:","181
per 1000
191 fewer per
1000
( CI 95% 218 fewer
— 164 fewer )","Moderate
Due to serious
inconsistency 9","Therapeutic courses of an
antimalarial medicine
probably decrease clinical
malaria (intervention
period)."
"Clinical malaria
(post-
intervention
period)
6 Important","Hazard ratio 0.96
(CI 95% 0.83 — 1.11)
Based on data from 3,325
participants in 3 studies.
(Randomized controlled)
Follow up: 15 weeks to 26
weeks.","241
per 1000
Difference:","233
per 1000
8 fewer per 1000
( CI 95% 36 fewer
— 23 more )","Moderate
Due to serious
imprecision 10","Therapeutic courses of an
antimalarial medicine
probably result in little to
no difference in clinical
malaria (post-intervention
period)."
"Clinical malaria
(intervention
plus post-
intervention
period)
6 Important","Hazard ratio 0.64
(CI 95% 0.58 — 0.72)
Based on data from 3,387
participants in 3 studies.
(Randomized controlled)
Follow up: 2 weeks to 26
weeks.","607
per 1000
Difference:","450
per 1000
157 fewer per
1000
( CI 95% 189 fewer
— 117 fewer )","Moderate
Due to serious
inconsistency 11","Therapeutic courses of an
antimalarial medicine
probably decrease clinical
malaria (intervention plus
post-intervention period)."
,,,,,
