Col0,Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
Standard of care","Intervention
Spatial emanators
(mosquito coils) +
ITNs","Certainty of the
evidence
(Quality of evidence)",Summary
"Parasite
prevalence (P.
falciparum)
in people","Odds ratio 0.05
(CI 95% 0.01 — 0.23)
Based on data from 3,683
participants in 1 studies. 1
(Randomized controlled)","3.3
per 1000
Difference:","3.2 fewer
3.3 fewer — 2.6
fewer","Moderate
Due to serious
imprecision 2","Spatial emanators
(mosquito coils) + ITNs
probably decreases
parasite prevalence (P.
falciparum) slightly"
"Parasite
prevalence (P.
vivax)
in people","Odds ratio 0.07
(CI 95% 0.02 — 0.25)
Based on data from 3,683
participants in 1 studies. 3
(Randomized controlled)","3
per 1000
Difference:","3.1 fewer
( CI 95% 3.3 fewer
— 2.5 fewer )","Moderate
Due to serious
imprecision 4","Spatial emanators
(mosquito coils) + ITNs
probably decreases
parasite prevalence (P.
vivax) slightly"
"1, 3. Systematic review [310] This risk is calculated from the average event rate for the clusters that received coils over the six
surveys conducted, as reported by the authors. The authors denominator used is the number of people that completed the survey
and not the number of people randomised to the intervention group (i.e., ITT principles are not followed). Relative effects are the
adjusted data as reported from the study.. Comparator: This baseline risk is calculated from the average control event rate over
the six surveys conducted, as reported by the authors. The authors denominator used is the number of people that completed the
survey and not the number of people randomised to the control group (i.e., ITT principles are not followed)..
2, 4. Imprecision: serious. With few events, an optimal information size calculation was performed, and it was determined that
the optimal information size was not met (7833)..",,,,,
