"Outcome
Timeframe","Study results and
measurements","Comparator
Quinine","Intervention
Artemether-
lumefantrine","Certainty of the
evidence
(Quality of
evidence)",Summary
,,,— 7 fewer ),,
Miscarriage,"Relative risk 0.67
(CI 95% 0.37 — 1.23)
Based on data from
1,377 participants in 12
studies.","74
per 1000
Difference:","51
per 1000
24 fewer per
1000
( CI 95% 46 fewer
— 16 more )",Low,"AL may reduce
miscarriage"
Stillbirth,"Relative risk 0.53
(CI 95% 0.22 — 1.24)
Based on data from
1,078 participants in 12
studies.","20
per 1000
Difference:","11
per 1000
10 fewer per
1000
( CI 95% 16 fewer
— 5 more )",Low,AL may reduce stillbirth
Fetal loss,"Relative risk 0.56
(CI 95% 0.35 — 0.9)
Based on data from
1,439 participants in 12
studies.","87
per 1000
Difference:","50
per 1000
37 fewer per
1000
( CI 95% 56 fewer
— 8 fewer )","Low
It is not
appropriate to
upgrade here.
Whilst very large
effects may
“upgrade” by one
point, this is only
when the CI do
not overlap with
smaller effects,
which is not the
case here.
Indeed, GRADE
state that a large
effect is only
considered with
the RR is <0.5,
and this is based
on direct
evidence with no
plausible
confounders.",AL may reduce fetal loss
"Major
congenital
anomalies","Based on data from
1,439 participants in 12
studies.","4
per 1000",,Low,"AL may reduce
congenital abnormalities"
,,,,,
