Certainty of evidence,Interpretation
High,The Group is very confident in the estimate of effect and considers that further research is very unlikely to change this confidence.
Moderate,The Group has moderate confidence in the estimate of effect and considers that further research is likely to have an important impact on that confidence and may change the estimate.
