Outcome Timeframe,Study results and measurements,Comparator other antimalarials,Intervention ASPY,Certainty of the evidence (Quality of evidence),Summary
"treatment(s), abnormal ALT increase","(CI 95% 0.76 -6.27) Based on data from 1,649 participants in 1 studies. 9 (Randomized controlled)",per 1000 Difference:,per 1000 5 more per 1000 ( CI 95% 1 fewer -21 more ),"Due to serious indirectness, Due to serious imprecision 10",increased risk of raised ALT with subsequent treatments with ASPY compared to other antimalarials.
"Subsequent treatment(s), abnormal AST increase","Relative risk 1.82 (CI 95% 0.74 -4.44) Based on data from 1,649 participants in 1 studies. 11 (Randomized controlled)",6 per 1000 Difference:,11 per 1000 5 more per 1000 ( CI 95% 2 fewer -21 more ),"Low Due to serious indirectness, Due to serious imprecision 12",There may be an increased risk of raised AST with subsequent treatments with ASPY compared to other antimalarials.
"Subsequent treatment(s), abnormal bilirubin increase","Relative risk 1.13 (CI 95% 0.42 -3.01) Based on data from 1,649 participants in 1 studies. 13 (Randomized controlled)",8 per 1000 Difference:,9 per 1000 1 more per 1000 ( CI 95% 5 fewer -16 more ),"Low Due to serious indirectness, Due to serious imprecision 14",There may be little or no difference for bilirubin between ASPY and other antimalarials.
