Outcome Timeframe,Study results and measurements,Comparator no MDA,Intervention Mass drug administration (MDA),Certainty of the evidence (Quality of evidence),Summary
,"6,911 participants in 1 studies. (Randomized controlled)",Difference:,2 more per 1000 ( CI 95% 1 fewer -8more ),,between 4-12 months
