Outcome Timeframe,Study results and measurements,Comparator no TDA,Intervention Targeted drug administration (TDA),Certainty of the evidence (Quality of evidence),Summary
Adverse events (NRS),"Based on data from 1,094 participants in 1 studies. (Observational (non- randomized))",0 per 1000,0 per 1000,Very low Due to serious risk of bias 5,The evidence is very uncertain about the effect of TDA on adverse events
Prevalence among those targeted by the intervention (cRCTs),"Relative risk 0.15 (CI 95% 0.06 -0.38) Based on data from 5,970 participants in 2 studies. (Randomized controlled)",406 per 1000 Difference:,61 per 1000 345 fewer per 1000 ( CI 95% 381 fewer -251 fewer ),Moderate Due to serious indirectness 6,TDA probably reduces the prevalence of malaria among those targeted by the intervention
Prevalence among those targeted by the intervention (NRS),Relative risk 0.35 (CI 95% 0.22 -0.57) Based on data from 348 participants in 1 studies. (Observational (non- randomized)),315 per 1000 Difference:,110 per 1000 205 fewer per 1000 ( CI 95% 246 fewer -135 fewer ),"Low Due to serious risk of bias, Due to serious indirectness 7",TDA may reduce the prevalence of malaria among those targeted by the intervention
Incidence of malaria in the community,Based on data from 0 participants in 2 studies. (Observational (non- randomized)),Both studies reported no malaria cases during the follow-up periods.,Both studies reported no malaria cases during the follow-up periods.,"Very low Due to serious risk of bias, Due to serious indirectness, Due to serious imprecision 8",The evidence is very uncertain about the effect of TDA on the prevalence of malaria among those targeted by the intervention
